model,year,mileage_km,engine_size_l,fuel_type,transmission,body_condition,color,previous_owners,price_million_toman
Rana,2011,298000.0,1.6,petrol,manual,intact,white,4,260.5
Peugeot Pars,2021,90600.0,1.8,petrol,automatic,major_paint, blue ,2,483.7
Dena,2015,209300.0,1.7,petrol,manual,major_paint,white,2,378.8
Hyundai Accent,2023,102000.0,1.6,petrol,manual,major_paint,black,2,1803.8
Kia Cerato,2023,60100.0,2.0,petrol,MANUAL,minor_paint,silver,5,1917.2
Pride,2018,93400.0,1.3,petrol_lpg,manual,intact,blue,3,162.3
Rana,2022,47500.0,1.6,petrol,manual,minor_paint,blue,3,559.2
Toyota Corolla,2025,,1.8,petrol,automatic,minor_paint,white,3,2959.4
Samand,2018,144500.0,1.8,petrol,manual,intact,white,5,317.3
Peugeot Pars,2005,393100.0,1.8,petrol,automatic,major_paint,white,3,156.2
Shahin,2011,245700.0,1.5,petrol,automatic,major_paint,blue,1,351.9
Hyundai Accent,2022,78600.0,1.6,petrol,automatic,intact,white,2,2263.1
Tiba,2024,57800.0,1.5,petrol,manual,intact,black,3,318.6
Kia Cerato,2023,68900.0,2.0,petrol_lpg,manual,intact,black,3,2097.9
Samand,2011,245700.0,1.8,petrol,manual,intact,grey,2,179.5
Dena,2012,304800.0,1.7,petrol,manual,minor_paint,blue,1,327.3
Hyundai Accent,2017,166700.0,1.6,petrol,manual,intact,black,4,1378.2
Peugeot 206,2007,411100.0,1.4,petrol,MANUAL,accident_repaired,silver,5,108.5
Dena,2017,185300.0,1.7,petrol,manual,minor_paint,red,2,445.2
Peugeot Pars,2005,388300.0,1.8,petrol,manual,intact,black,4,167.9
Toyota Corolla,2012,265500.0,1.8,petrol,automatic,intact,white,5,1658.9
Kia Cerato,2006,378600.0,2.0,petrol,manual,accident_repaired,black,4,441.9
Peugeot 206,2022,90700.0,1.4,petrol,automatic,,white,1,571.6
Rana,2015,170900.0,1.6,petrol,automatic,intact,black,5,362.6
Dena,2014,229900.0,1.7,petrol_lpg,manual,minor_paint,black,5,319.1
Hyundai Accent,2010,,1.6,petrol,manual,minor_paint,white,4,918.7
Toyota Corolla,2020,103300.0,1.8,petrol,manual,minor_paint,white,1,2101.4
Rana,2020,86900.0,1.6,petrol_lpg,manual,accident_repaired,white,5,314.6
Dena,2017,159600.0,1.7,petrol,manual,major_paint,silver,3,398.2
Quik,2014,206700.0,1.5,petrol,manual,intact,silver,5,221.6
Hyundai Accent,2023,33200.0,1.6,petrol,automatic,minor_paint,blue,4,1865.9
Dena,2011,266800.0,1.7,petrol,manual,intact, silver ,1,388.8
Samand,2017,132700.0,1.8,petrol,manual,accident_repaired,red,1,208.8
Toyota Corolla,2012,279500.0,1.8,petrol_lpg,manual,minor_paint,grey,3,1196.4
Rana,2007,271600.0,1.6,petrol,manual,, white ,5,135.7
Rana,2021,,1.6,petrol,manual,minor_paint,silver,4,432.1
Kia Cerato,2016,178300.0,2.0,petrol_lpg,manual,minor_paint,silver,2,1371.9
Rana,2011,278800.0,1.6,petrol,automatic,intact,white,1,286.7
Toyota Corolla,2018,154900.0,1.8,petrol,MANUAL,intact,black,4,1874.3
Kia Cerato,2015,174500.0,2.0,petrol,automatic,accident_repaired,black,5,1073.8
Peugeot Pars,2014,243400.0,1.8,petrol,manual,minor_paint,blue,2,266.0
Peugeot 206,2005,410300.0,1.4,petrol,manual,major_paint,blue,2,126.9
Samand,2005,413500.0,1.8,petrol,manual,major_paint,white,3,94.5
Kia Cerato,2010,322000.0,2.0,petrol,MANUAL,major_paint,blue,5,777.8
Dena,2007,349900.0,1.7,petrol,manual,intact,white,2,254.6
Hyundai Accent,2018,127700.0,1.6,petrol,manual,minor_paint,white,1,1490.1
Samand,2013,250300.0,1.8,petrol,manual,intact,white,3,218.0
Kia Cerato,2011,293900.0,2.0,petrol_lpg,automatic,intact,red,1,1103.0
Shahin,2017,137200.0,1.5,petrol,manual,intact,white,3,596.8
Rana,2011,,1.6,petrol,manual,major_paint,silver,5,206.7
Kia Cerato,2022,90200.0,2.0,petrol,manual,intact,silver,1,1971.6
Shahin,2005,376700.0,1.5,petrol,manual,intact, white ,4,231.1
Rana,2016,191800.0,1.6,petrol_lpg,automatic,major_paint,white,4,326.1
Kia Cerato,2010,312900.0,2.0,petrol,automatic,minor_paint,blue,5,1093.0
Quik,2024,50600.0,1.5,petrol,manual,minor_paint,white,3,443.9
Dena,2024,62100.0,1.7,petrol,manual,minor_paint,white,1,747.7
Pride,2022,58200.0,1.3,petrol,MANUAL,intact,red,3,245.1
Hyundai Accent,2016,215800.0,1.6,petrol,manual,minor_paint,blue,2,1182.6
Hyundai Accent,2019,146200.0,1.6,petrol,manual,minor_paint,white,2,1436.3
Kia Cerato,2008,342300.0,2.0,petrol,manual,intact,blue,3,870.2
Rana,2013,256100.0,1.6,petrol,MANUAL,major_paint,white,2,214.6
Peugeot 206,2025,11700.0,1.4,petrol,manual,major_paint,silver,5,527.3
Peugeot 206,2026,6200.0,1.4,petrol,automatic,intact,white,3,807.3
Peugeot 206,2015,224200.0,1.4,petrol,manual,intact,grey,1,323.1
Peugeot Pars,2025,,1.8,petrol_lpg,manual,minor_paint,silver,2,548.1
Tiba,2024,81900.0,1.5,petrol,manual,intact,black,5,343.8
Tiba,2012,268700.0,1.5,petrol,automatic,accident_repaired,white,1,112.0
Dena,2016,176400.0,1.7,petrol,automatic,intact,red,2,501.6
Rana,2018,167900.0,1.6,petrol,automatic,accident_repaired,silver,5,315.9
Kia Cerato,2024,,2.0,petrol,automatic,intact,silver,5,2581.0
Hyundai Accent,2023,68100.0,1.6,petrol,manual,minor_paint,black,2,1792.5
Peugeot 206,2019,106400.0,1.4,petrol,manual,minor_paint,silver,5,361.6
Samand,2020,108800.0,1.8,petrol,manual,intact,silver,4,363.9
Pride,2024,72500.0,1.3,petrol,MANUAL,accident_repaired,black,4,164.5
Pride,2009,304200.0,1.3,petrol,automatic,major_paint,blue,3,78.8
Tiba,2020,117500.0,1.5,petrol_lpg,manual,major_paint,white,5,194.3
Tiba,2009,338000.0,1.5,petrol,manual,major_paint, white ,3,94.8
Pride,2023,34000.0,1.3,petrol,manual,minor_paint,black,1,238.3
Quik,2015,199800.0,1.5,petrol,automatic,intact, black ,5,232.9
Kia Cerato,2010,308300.0,2.0,petrol,manual,intact,white,2,1047.8
Quik,2015,256800.0,1.5,petrol,automatic,major_paint,grey,1,190.4
Shahin,2026,0.0,1.5,petrol,manual,,grey,5,939.8
Hyundai Accent,2024,7900.0,1.6,petrol,manual,intact,blue,3,1837.4
Tiba,2012,254100.0,1.5,petrol,manual,minor_paint,grey,3,128.6
Tiba,2024,41700.0,1.5,petrol,automatic,minor_paint,silver,1,409.0
Peugeot 206,2005,337100.0,1.4,petrol,automatic,intact,silver,5,177.3
Tiba,2008,305400000.0,1.5,petrol,manual,minor_paint,black,4,104.2
Hyundai Accent,2026,0.0,1.6,petrol,manual,minor_paint,black,1,2646.8
Toyota Corolla,2020,125500.0,1.8,petrol,automatic,minor_paint,white,3,2471.4
Samand,2024,52900.0,1.8,petrol_lpg,manual,major_paint,grey,5,336.0
Peugeot Pars,2024,46500.0,1.8,petrol,manual,intact, white ,4,593.8
Shahin,2024,25100.0,1.5,petrol,manual,intact,red,3,868.6
Samand,2008,369700.0,1.8,petrol_lpg,manual,intact,grey,5,150.3
Peugeot Pars,2011,269200.0,1.8,petrol,manual,major_paint,blue,1,201.8
Kia Cerato,2020,165900.0,2.0,petrol,manual,major_paint,black,1,1540.7
Peugeot 206,2017,172500.0,1.4,petrol,manual,intact,white,1,425.3
Samand,2013,216700.0,1.8,petrol,manual,intact,silver,4,254.5
Hyundai Accent,2014,187400.0,1.6,petrol,manual,minor_paint,blue,4,950.1
Quik,2021,176800.0,1.5,petrol,automatic,accident_repaired,grey,5,188.0
Pride,2012,265800.0,1.3,petrol,manual,major_paint,white,4,84.3
Rana,2016,200500.0,1.6,petrol_lpg,automatic,intact,red,3,360.9
Tiba,2020,112500.0,1.5,petrol,manual,intact,grey,4,226.3
Samand,2009,325200.0,1.8,petrol_lpg,manual,minor_paint,black,2,145.1
Pride,2009,273800.0,1.3,petrol_lpg,manual,major_paint,black,1,83.5
Samand,2026,24900.0,1.8,petrol,manual,intact,white,4,596.6
Quik,2013,218300.0,1.5,petrol,manual,major_paint,grey,1,165.5
Dena,2018,168700.0,1.7,petrol,manual,intact,silver,3,533.9
Tiba,2025,1100.0,1.5,petrol_lpg,manual,major_paint,white,1,325.0
Tiba,2025,16600.0,1.5,petrol,manual,major_paint,grey,2,276.6
Tiba,2013,286500.0,1.5,petrol,manual,minor_paint,grey,2,139.3
Samand,2008,338800.0,1.8,petrol,manual,minor_paint,red,3,147.3
Peugeot Pars,2016,191000.0,1.8,petrol,manual,minor_paint, silver ,5,323.4
Hyundai Accent,2016,209700.0,1.6,petrol,manual,minor_paint,white,5,1194.5
Pride,2015,165600.0,1.3,petrol,manual,accident_repaired,white,3,102.7
Pride,2018,158200.0,1.3,petrol,automatic,minor_paint,grey,3,168.6
Quik,2021,114000.0,1.5,petrol_lpg,automatic,intact,black,4,342.6
Peugeot Pars,2016,208400.0,1.8,petrol,manual,intact,white,2,381.4
Dena,2015,184300.0,1.7,petrol,manual,intact,white,2,460.2
Samand,2005,397300.0,1.8,petrol,manual,intact,black,1,122.2
Tiba,2017,168800.0,1.5,petrol,automatic,intact,black,2,233.3
Dena,2011,285400000.0,1.7,petrol_lpg,automatic,minor_paint,red,5,292.1
Dena,2010,276300.0,1.7,petrol,automatic,major_paint,red,4,279.0
Quik,2025,0.0,1.5,petrol,automatic,minor_paint,silver,1,537.3
Tiba,2010,285100.0,1.5,petrol,manual,accident_repaired,grey,3,75.0
Peugeot Pars,2021,127700.0,1.8,petrol,manual,minor_paint,blue,4,461.0
Toyota Corolla,2022,56000.0,1.8,petrol,automatic,intact,blue,4,2500.1
Tiba,2007,,1.5,petrol,manual,intact,blue,4,85.3
Shahin,2026,23700.0,1.5,petrol,manual,intact,red,5,864.0
Peugeot Pars,2009,320900.0,1.8,petrol,MANUAL,minor_paint,white,5,201.7
Peugeot 206,2017,163000.0,1.4,petrol,manual,major_paint,red,2,281.6
Quik,2007,345800.0,1.5,petrol,automatic,accident_repaired,red,4,93.9
Rana,2020,88000.0,1.6,petrol,automatic,accident_repaired,grey,4,303.2
Hyundai Accent,2022,51900.0,1.6,petrol_lpg,manual,minor_paint,grey,3,1670.0
Samand,2014,216000.0,1.8,petrol,manual,intact,grey,2,253.8
Toyota Corolla,2015,232900.0,1.8,petrol,automatic,major_paint,silver,3,1320.8
Toyota Corolla,2022,12200.0,1.8,petrol,MANUAL,intact,silver,5,2413.8
Quik,2022,46700.0,1.5,petrol,manual,intact,white,2,429.9
Tiba,2014,243600.0,1.5,petrol,manual,accident_repaired,white,4,97.5
Shahin,2013,267000.0,1.5,petrol,manual,major_paint,red,5,291.0
Pride,2013,250700.0,1.3,petrol,manual,major_paint,black,4,85.3
Tiba,2017,178000.0,1.5,petrol_lpg,automatic,intact,blue,1,225.5
Dena,2021,98600.0,1.7,petrol,manual,,white,2,600.7
Shahin,2016,142600.0,1.5,petrol,manual,accident_repaired,grey,4,307.7
Samand,2007,335700.0,1.8,petrol,manual,intact,silver,4,142.3
Dena,2009,321700.0,1.7,petrol,manual,accident_repaired,white,1,203.7
Quik,2023,12400.0,1.5,petrol,automatic,intact,grey,2,447.1
Peugeot Pars,2008,340400.0,1.8,petrol,automatic,minor_paint,black,2,259.3
